condition,stimulus
Sound,Imagine a racecar driving past
Sound,Imagine the sound of wood being sawed
Sound,Imagine the sound of crickets chirping
Sound,Imagine you can hear a helicopter
Sound,Imagine the roar of a lion
Sound,Imagine hearing a waterfall
Sound,Imagine hearing a microwave beep
Sound,Imagine a piano being played
Sound,Imagine a guitar being played
Sound,Imagine hearing a car engine start
Sound,Imagine the sound of birds singing
Sound,Imagine hearing a vacuum cleaner
Sound,Imagine a doorbell ringing
Sound,Imagine hearing church bells tolling
Sound,Imagine hearing chalk on a chalkboard
Sound,Imagine the sounds of a construction site
Sound,Imagine the sound of a crowd applauding
Sound,Imagine elevator music
Sound,Imagine a baby crying
Sound,Imagine the sound of typing
Sound,Imagine a police siren
Sound,Imagine the sound of splashing water
Sound,Imagine the sound of a clock ticking
Sound,Imagine hearing a phone ringing
Sound,Imagine the sound of a dog barking
Sound,Imagine you can hear a babbling brook
Sound,Imagine the sound of a fire engine
Sound,Imagine the sound of radio static
Sound,Imagine the sound of popcorn popping
Sound,Imagine the sound of someone sneezing
